Price,Rooms & Living Space Details,Address
CHF 8’550.– / Monat,4.5 Zimmer 180m² Wohnfläche,"Volkmarstrasse 10, 8006 Zürich"
CHF 4’910.– / Monat,5 Zimmer 106m² Wohnfläche,"Gemeindestrasse 26, 8032 Zürich"
CHF 4’290.– / Monat,6.5 Zimmer 154m² Wohnfläche,"Manessestrasse 8, 8003 Zürich"
CHF 5’170.– / Monat,7.5 Zimmer 200m² Wohnfläche,"Ruedi Walter-Str. 4, 8050 Zürich"
CHF 5’910.– / Monat,6.5 Zimmer 220m² Wohnfläche,"Schulhausstr. 17, 8002 Zürich"
CHF 5’300.– / Monat,6.5 Zimmer 140m² Wohnfläche,"Butzenstr. 44, 8038 Zürich"
CHF 3’490.– / Monat,4.5 Zimmer 121m² Wohnfläche,"Steinbrüchelstr. 2, 8053 Zürich"
CHF 5’720.– / Monat,4.5 Zimmer 160m² Wohnfläche,"Brunaustr. 72, 8002 Zürich"
CHF 3’570.– / Monat,3 Zimmer 129m² Wohnfläche,"Edenstrasse 9, 8045 Zürich"
CHF 10’710.– / Monat,10.5 Zimmer 370m² Wohnfläche,"Schlössliweg 9, 8044 Zürich"
CHF 13’350.– / Monat,10.5 Zimmer 290m² Wohnfläche,"Hadlaubstrasse 111, 8006 Zürich"
CHF 9’440.– / Monat,5 Zimmer 170m² Wohnfläche,"Claridenstrasse 40, 8002 Zürich"
CHF 4’960.– / Monat,3 Zimmer 120m² Wohnfläche,"Steinstrasse 25, 8003 Zürich Wiedikon"
CHF 4’190.– / Monat,4.5 Zimmer 93m² Wohnfläche,"Steinstrasse 25, 8003 Zürich Wiedikon"
CHF 2’620.– / Monat,3.5 Zimmer 112m² Wohnfläche,"Schwamendingenstrasse 24, 8050 Zürich"
CHF 5’500.– / Monat,4.5 Zimmer 140m² Wohnfläche,"Tödistrasse 38, 8002 Zürich"
CHF 5’180.– / Monat,7.5 Zimmer 140m² Wohnfläche,"Giblenstrasse 55, 8049 Zürich"
CHF 39’520.– / Monat,10.5 Zimmer 750m² Wohnfläche,"Dianastrasse 5, 8002 Zürich"
CHF 2’820.– / Monat,3.5 Zimmer 45m² Wohnfläche,"Bernerstrasse S 169, 8048 Zürich"
CHF 4’630.– / Monat,4.5 Zimmer 118m² Wohnfläche,"Steinstrasse 25, 8003 Zürich Wiedikon"
CHF 3’920.– / Monat,4.5 Zimmer 93m² Wohnfläche,"Steinstrasse 25, 8003 Zürich Wiedikon"
CHF 4’910.– / Monat,4.5 Zimmer 120m² Wohnfläche,"Steinstrass 25, 8003 Zürich Wiedikon"
CHF 4’730.– / Monat,4.5 Zimmer 116m² Wohnfläche,"Steinstrasse 25, 8003 Zürich"
CHF 4’660.– / Monat,4.5 Zimmer 114m² Wohnfläche,"Steinstrasse 25, 8003 Zürich"
CHF 2’920.– / Monat,2 Zimmer 45m² Wohnfläche,"Steinstrasse 27, 8003 Zürich"
CHF 3’390.– / Monat,5 Zimmer 146m² Wohnfläche,"Roswiesenstrasse 183, 8051 Zürich"
CHF 4’530.– / Monat,5 Zimmer 135m² Wohnfläche,"Schwamendingenstrasse 93, 8050 Zürich"
CHF 3’420.– / Monat,6.5 Zimmer 143m² Wohnfläche,"Gräbligasse 12, 8001 Zürich"
CHF 20’510.– / Monat,6 Zimmer 310m² Wohnfläche,"Utoquai 37, 8008 Zürich"
CHF 8’550.– / Monat,7.5 Zimmer 240m² Wohnfläche,"Beethovenstrasse 9, 8002 Zürich"
CHF 13’390.– / Monat,6.5 Zimmer 240m² Wohnfläche,"Utoquai 37, 8008 Zürich"
CHF 2’170.– / Monat,3.5 Zimmer 45m² Wohnfläche,"Viktoriastrasse 29, 8057 Zürich"
CHF 5’050.– / Monat,6.5 Zimmer 168m² Wohnfläche,"Vulkanstrasse 110a, 8048 Zürich"
CHF 7’360.– / Monat,7.5 Zimmer 180m² Wohnfläche,"Bucheggstrasse 130, 8057 Zürich"
CHF 2’710.– / Monat,3.5 Zimmer 70m² Wohnfläche,"Bucheggstrasse 130, 8057 Zürich"
CHF 3’120.– / Monat,6 Zimmer 154m² Wohnfläche,"Glattalstrasse 127, 8052 Zürich"
CHF 4’100.– / Monat,4.5 Zimmer 127m² Wohnfläche,"Dörflistrasse 115, 8050 Zürich"
CHF 3’730.– / Monat,4.5 Zimmer 112m² Wohnfläche,"Dörflistrasse 115, 8050 Zürich"
CHF 4’030.– / Monat,4.5 Zimmer 125m² Wohnfläche,"Dörflistrasse 115, 8050 Zürich"
CHF 7’200.– / Monat,4.5 Zimmer 180m² Wohnfläche,"Pfingstweidstrasse 98, 8005 Zürich"
CHF 4’610.– / Monat,4.5 Zimmer 123m² Wohnfläche,"Steinhaldenstr. 54, 8002 Zürich"
