"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2023","11,484.90","11,494.97","11,561.39","11,484.90","31.29M","-0.59%"
"05/22/2023","11,553.23","11,558.88","11,591.00","11,533.47","29.54M","-0.15%"
"05/19/2023","11,571.16","11,496.81","11,607.89","11,482.54","57.31M","1.17%"
"05/17/2023","11,437.78","11,478.23","11,497.31","11,432.25","31.21M","-0.71%"
"05/16/2023","11,519.87","11,548.08","11,568.33","11,497.76","32.04M","-0.50%"
"05/15/2023","11,578.25","11,601.54","11,616.37","11,564.24","23.43M","0.12%"
"05/12/2023","11,564.73","11,578.64","11,606.10","11,539.79","26.04M","0.36%"
"05/11/2023","11,522.97","11,494.23","11,540.16","11,452.05","43.07M","0.66%"
"05/10/2023","11,447.23","11,522.75","11,543.30","11,421.38","32.89M","-0.86%"
"05/09/2023","11,546.04","11,566.53","11,568.97","11,486.14","34.92M","-0.42%"
"05/08/2023","11,595.25","11,546.25","11,606.88","11,537.21","21.83M","0.35%"
"05/05/2023","11,554.24","11,494.85","11,554.24","11,448.50","33.46M","0.85%"
"05/04/2023","11,456.37","11,450.15","11,487.91","11,418.25","46.16M","-0.43%"
"05/03/2023","11,506.19","11,463.43","11,508.78","11,435.54","37.31M","0.73%"
"05/02/2023","11,423.33","11,460.05","11,514.17","11,411.42","38.26M","-0.12%"
"04/28/2023","11,437.14","11,401.04","11,444.00","11,378.82","38.56M","0.66%"
"04/27/2023","11,361.89","11,366.11","11,414.07","11,336.08","33.48M","-0.03%"
"04/26/2023","11,364.91","11,433.47","11,445.47","11,337.44","52.02M","-1.29%"
"04/25/2023","11,513.12","11,468.54","11,549.03","11,458.63","59.60M","0.40%"
"04/24/2023","11,467.20","11,435.63","11,483.16","11,434.52","40.61M","0.06%"
"04/21/2023","11,460.58","11,402.55","11,460.58","11,371.42","53.58M","0.61%"
"04/20/2023","11,390.64","11,330.80","11,393.04","11,325.50","40.80M","0.21%"
"04/19/2023","11,366.22","11,332.35","11,377.85","11,330.77","43.42M","0.06%"
"04/18/2023","11,358.98","11,332.58","11,392.73","11,320.82","36.76M","0.42%"
"04/17/2023","11,311.76","11,337.18","11,342.46","11,296.96","47.06M","-0.27%"
"04/14/2023","11,342.86","11,276.43","11,368.38","11,268.31","50.49M","0.75%"
"04/13/2023","11,258.95","11,234.87","11,288.29","11,222.05","46.02M","0.24%"
"04/12/2023","11,231.99","11,238.55","11,309.55","11,216.73","61.57M","-0.30%"
"04/11/2023","11,265.30","11,288.52","11,306.25","11,223.98","47.17M","0.31%"
