date,open,high,low,close,volume,currency
2018-12-25,183.89,177.7,155.04,172.6,91036135.15,Bitcoin Cash
2018-12-26,172.6,189.55,169.04,176.04,63821253.64,Bitcoin Cash
2018-12-27,175.68,178.13,145.92,148.46,19430935.91,Bitcoin Cash
2018-12-28,149.82,179.47,154.28,176.9,62067187.62,Bitcoin Cash
2018-12-29,176.06,181.24,151.03,164.76,38031796.29,Bitcoin Cash
2018-12-30,164.76,213.41,161.12,178.08,42708545.94,Bitcoin Cash
2018-12-31,178.08,266.98,142.83,150.84,31372522.5,Bitcoin Cash
2019-01-01,151.02,173.09,154.59,165.29,29088283.6,Bitcoin Cash
2019-01-02,165.02,174.97,161.33,171.7,14220887.19,Bitcoin Cash
2019-01-03,173.79,177.83,145.26,155.42,33536796.14,Bitcoin Cash
2019-01-04,160.99,164.2,153.25,160.64,9980589.15,Bitcoin Cash
2019-01-05,162.28,179.66,131.11,133.37,25290635.51,Bitcoin Cash
2019-01-06,159.38,168.91,158.08,166.39,10801193.22,Bitcoin Cash
2019-01-07,168.13,176.42,150.95,161.22,23046723.23,Bitcoin Cash
2019-01-08,161.22,176.79,150.42,163.19,35515262.09,Bitcoin Cash
2019-01-09,163.19,176.87,149.11,161.75,37724687.16,Bitcoin Cash
2019-01-10,161.75,153.55,123.99,134.36,67297183.98,Bitcoin Cash
2019-01-11,134.36,146.23,101.1,116.24,60690086.98,Bitcoin Cash
2019-01-12,116.24,135.9,101.76,123.3,57912901.81,Bitcoin Cash
2019-01-13,123.3,125.88,98.12,118.89,43613676.87,Bitcoin Cash
2019-01-14,118.89,150.5,113.48,134.93,33005010.72,Bitcoin Cash
2019-01-15,134.93,127.28,106.48,111.76,32062798.89,Bitcoin Cash
2019-01-16,111.76,141.59,81.05,128.04,36780707.46,Bitcoin Cash
2019-01-17,128.04,134.85,120.39,132.38,42312653.26,Bitcoin Cash
2019-01-18,132.38,144.68,127.8,141.07,50243737.11,Bitcoin Cash
2019-01-19,141.07,174.79,129.84,153.57,55736151.35,Bitcoin Cash
2019-01-20,153.57,153.93,115.5,134.99,49463311.49,Bitcoin Cash
2019-01-21,134.99,134.23,120.22,122.56,50441094.77,Bitcoin Cash
2019-01-22,122.56,141.75,122.69,128.65,37357332.6,Bitcoin Cash
2019-01-23,128.65,148.14,125.8,132.85,33649220.02,Bitcoin Cash
2019-01-24,131.84,133.33,128.25,130.45,42550508.84,Bitcoin Cash
2019-01-25,143.59,158.81,121.72,127.51,32959468.8,Bitcoin Cash
2019-01-26,127.51,153.56,125.64,139.6,46495894.43,Bitcoin Cash
2019-01-27,139.6,140.34,114.52,121.25,55779174.7,Bitcoin Cash
2019-01-28,121.75,119.83,107.09,111.2,54666705.98,Bitcoin Cash
2019-01-29,112.74,120.46,104.75,109.99,29056218.38,Bitcoin Cash
2019-01-30,110.03,126.83,110.05,117.4,25994515.69,Bitcoin Cash
2019-01-31,128.67,130.41,105.87,114.37,33184674.51,Bitcoin Cash
2019-02-01,114.37,129.51,108.1,115.59,31816035.94,Bitcoin Cash
2019-02-02,115.59,133.2,118.77,122.1,28379519.85,Bitcoin Cash
2019-02-03,122.1,147.95,110.43,126.51,34891425.59,Bitcoin Cash
2019-02-04,126.51,138.97,113.31,117.59,34726822.26,Bitcoin Cash
2019-02-05,117.59,130.45,114.42,117.62,37041691.66,Bitcoin Cash
2019-02-06,117.62,129.58,107.64,114.95,38352126.06,Bitcoin Cash
2019-02-07,114.95,200.26,113.69,114.73,42425825.43,Bitcoin Cash
2019-02-08,114.96,148.41,123.2,129.6,58184672.77,Bitcoin Cash
2019-02-09,130.24,136.18,120.65,127.82,55699319.98,Bitcoin Cash
2019-02-10,127.82,143.16,122.09,128.09,40874657.21,Bitcoin Cash
2019-02-11,126.95,144.16,119.57,121.23,34428217.64,Bitcoin Cash
2019-02-12,121.97,134.89,114.23,122.63,39605383.12,Bitcoin Cash
2019-02-13,122.63,135.76,108.89,111.94,34802445.57,Bitcoin Cash
2019-02-14,122.02,143.58,120.04,120.98,43997505.22,Bitcoin Cash
2019-02-15,120.85,136.66,120.31,121.61,32799978.28,Bitcoin Cash
2019-02-16,121.61,136.82,120.98,122.75,36377260.46,Bitcoin Cash
2019-02-17,122.75,142.34,119.37,119.37,40838982.63,Bitcoin Cash
2019-02-18,124.3,154.55,131.78,144.22,137620587.23,Bitcoin Cash
2019-02-19,144.22,154.3,141.23,142.61,113118155.74,Bitcoin Cash
2019-02-20,142.06,165.65,128.35,147.68,54872210.9,Bitcoin Cash
2019-02-21,146.64,162.48,139.73,141.85,56736600.41,Bitcoin Cash
2019-02-22,144.6,148.19,138.28,146.73,52492268.29,Bitcoin Cash
2019-02-23,146.73,158.25,144.19,154.34,65606079.4,Bitcoin Cash
2019-02-24,168.66,153.73,127.93,128.88,101429724.15,Bitcoin Cash
2019-02-25,128.88,151.32,130.94,134.36,116356965.24,Bitcoin Cash
2019-02-26,134.36,159.05,130.72,132.79,53176471.76,Bitcoin Cash
2019-02-27,132.79,134.23,130.55,131.51,39058209.35,Bitcoin Cash
2019-02-28,131.89,154.01,123.38,132.08,29507995.16,Bitcoin Cash
2019-03-01,132.08,147.04,125.79,132.46,37892453.83,Bitcoin Cash
2019-03-02,132.46,144.51,118.05,122.82,38528489.62,Bitcoin Cash
2019-03-03,122.82,140.39,104.48,130.91,42505640.17,Bitcoin Cash
2019-03-04,129.85,155.67,121.38,123.88,53588960.31,Bitcoin Cash
2019-03-05,123.88,150.55,127.96,132.38,48513610.03,Bitcoin Cash
2019-03-06,133.3,146.8,124.82,132.7,35878705.16,Bitcoin Cash
2019-03-07,132.7,145.91,121.54,130.78,55107603.74,Bitcoin Cash
2019-03-08,130.78,145.17,119.57,129.04,56633448.56,Bitcoin Cash
2019-03-09,127.88,153.05,129.76,133.59,55238452.34,Bitcoin Cash
2019-03-10,134.85,147.27,126.2,132.54,60655662.51,Bitcoin Cash
2019-03-11,132.54,130.39,100.64,129.4,87558968.02,Bitcoin Cash
2019-03-12,129.4,131.35,123.39,129.32,82299055.6,Bitcoin Cash
2019-03-13,129.32,134.26,121.79,129.45,75108492.87,Bitcoin Cash
2019-03-14,128.45,154.25,128.24,132.43,91770126.3,Bitcoin Cash
2019-03-15,132.43,154.81,133.05,143.69,131453355.89,Bitcoin Cash
2019-03-16,143.69,168.65,146.95,156.73,265725081.94,Bitcoin Cash
2019-03-17,157.26,167.69,142.53,156.51,98461340.38,Bitcoin Cash
2019-03-18,154.96,171.4,154.13,160.87,148331959.02,Bitcoin Cash
2019-03-19,160.87,173.24,156.82,160.28,89401780.89,Bitcoin Cash
2019-03-20,161.77,171.07,157.05,161.25,95762790.2,Bitcoin Cash
2019-03-21,161.25,155.95,124.0,135.61,90521869.17,Bitcoin Cash
2019-03-22,135.61,161.38,114.41,123.26,90583405.48,Bitcoin Cash
2019-03-23,123.26,274.1,118.39,162.53,95582729.05,Bitcoin Cash
2019-03-24,162.53,194.78,133.99,140.3,65390232.47,Bitcoin Cash
2019-03-25,140.3,163.43,128.44,160.75,133405925.9,Bitcoin Cash
2019-03-26,160.75,171.89,150.4,159.81,130314185.83,Bitcoin Cash
2019-03-27,159.81,183.7,154.25,168.28,108684251.84,Bitcoin Cash
2019-03-28,168.28,177.14,152.23,167.45,91337688.78,Bitcoin Cash
2019-03-29,167.43,193.48,168.73,170.83,67443678.14,Bitcoin Cash
2019-03-30,170.83,195.82,165.92,166.62,46319877.16,Bitcoin Cash
2019-03-31,166.62,211.02,165.58,169.24,38489658.92,Bitcoin Cash
2019-04-01,169.24,212.88,166.47,166.84,36209229.69,Bitcoin Cash
